# Austronesian (Glottolog 5.3) members in the eBible corpus; branch = Glottolog subgroup 2 level(s) below Austronesian
languageCode,branch
mbs,Greater Central Philippine
mbt,Greater Central Philippine
msb,Greater Central Philippine
msk,Greater Central Philippine
msm,Greater Central Philippine
obo,Greater Central Philippine
tgl,Greater Central Philippine
mqj,Greater South Sulawesi
ptu,Greater South Sulawesi
jvn,Javanesic
ind,Malayo-Chamic
mkn,Malayo-Chamic
zlm,Malayo-Chamic
agt,Northern Luzon
att,Northern Luzon
blw,Northern Luzon
dgc,Northern Luzon
ebk,Northern Luzon
ilo,Northern Luzon
kmk,Northern Luzon
kne,Northern Luzon
lbk,Northern Luzon
prf,Northern Luzon
xnn,Northern Luzon
alp,Nunusaku
aaz,Timor-Babar
bkx,Timor-Babar
heg,Timor-Babar
kje,Timor-Babar
lex,Timor-Babar
llg,Timor-Babar
rgu,Timor-Babar
row,Timor-Babar
tdt,Timor-Babar
tet,Timor-Babar
txq,Timor-Babar
